NTK, AGOP, and Alignment Analysis Summary
mixer_b16_224 + roberta_large: NTK=0.1563, AGOP=1.05e+01, Align=0.0187
mixer_b16_224 + gpt2_medium: NTK=0.1580, AGOP=1.05e+01, Align=0.0172
mixer_b16_224 + gpt2_large: NTK=0.1537, AGOP=1.05e+01, Align=0.0151
mixer_b16_224 + albert_base_v2: NTK=0.1573, AGOP=1.04e+01, Align=0.0179
mixer_b16_224 + albert_large_v2: NTK=0.1608, AGOP=1.05e+01, Align=0.0130
mixer_b16_224 + xlnet_base_cased: NTK=0.1823, AGOP=6.96e+00, Align=0.0181
mixer_b16_224 + xlnet_large_cased: NTK=0.1767, AGOP=6.89e+00, Align=0.0198
mixer_b16_224 + distilroberta_base: NTK=0.1629, AGOP=1.05e+01, Align=0.0182
mixer_b16_224 + microsoft/DialoGPT-medium: NTK=0.1461, AGOP=1.05e+01, Align=0.0156
swin_small_patch4_window7_224 + bert_base: NTK=0.7301, AGOP=1.92e-01, Align=0.0168
swin_small_patch4_window7_224 + distilbert_base: NTK=0.7315, AGOP=1.94e-01, Align=0.0137
swin_small_patch4_window7_224 + roberta_base: NTK=0.7432, AGOP=1.90e-01, Align=0.0179
swin_small_patch4_window7_224 + roberta_large: NTK=0.7152, AGOP=2.12e-01, Align=0.0172
swin_small_patch4_window7_224 + gpt2_medium: NTK=0.7496, AGOP=2.03e-01, Align=0.0148
swin_small_patch4_window7_224 + gpt2_large: NTK=0.7364, AGOP=2.11e-01, Align=0.0196
swin_small_patch4_window7_224 + albert_base_v2: NTK=0.7374, AGOP=2.15e-01, Align=0.0160
swin_small_patch4_window7_224 + albert_large_v2: NTK=0.7362, AGOP=2.26e-01, Align=0.0188
swin_small_patch4_window7_224 + xlnet_base_cased: NTK=0.7324, AGOP=1.85e-01, Align=0.0167
swin_small_patch4_window7_224 + xlnet_large_cased: NTK=0.7539, AGOP=1.96e-01, Align=0.0182
