file,model,dataset,layer,layer_idx,I_X_T,I_Y_T,H_T,efficiency,compression,info_efficiency,compression_ratio
./results/medium_scale_analysis_20250903_170303/vit_base_patch16_224_cifar100_analysis.json,vit_base_patch16_224,cifar100,layer_1,1,0.034552509266517595,0.1,-2.8699774493847263,2.8941458123535755,-1.2694689158786718,2.8940620539778332,0.654474907334824
./results/medium_scale_analysis_20250903_170303/vit_base_patch16_224_cifar100_analysis.json,vit_base_patch16_224,cifar100,layer_2,2,0.03377755215136876,0.1,0.20664790190516477,2.9605460914356914,-1.218568384446833,2.9604584456988885,0.6622244784863125
./results/medium_scale_analysis_20250903_170303/vit_base_patch16_224_cifar100_analysis.json,vit_base_patch16_224,cifar100,layer_3,3,0.03417994259454717,0.1,1.1778652765938362,2.92569245028379,-1.244998088749813,2.9256068560248782,0.6582005740545283
./results/medium_scale_analysis_20250903_170303/vit_base_patch16_224_cifar100_analysis.json,vit_base_patch16_224,cifar100,layer_4,4,0.03418135452855304,0.1,-3.0052355279779883,2.925571598295382,-1.245090827031507,2.925486011107529,0.6581864547144696
./results/medium_scale_analysis_20250903_170303/vit_base_patch16_224_cifar100_analysis.json,vit_base_patch16_224,cifar100,layer_5,5,0.03435818574406892,0.1,-3.136908736259348,2.91051456397876,-1.2567054088806815,2.9104298554939416,0.6564181425593109
./results/medium_scale_analysis_20250903_170303/vit_base_patch16_224_cifar100_analysis.json,vit_base_patch16_224,cifar100,layer_6,6,0.03352913386546895,0.1,-3.280992282943364,2.982480859816907,-1.2022518392825776,2.98239191054901,0.6647086613453106
./results/medium_scale_analysis_20250903_170303/vit_base_patch16_224_cifar100_analysis.json,vit_base_patch16_224,cifar100,layer_7,7,0.03441284193024717,0.1,-3.1596718053339834,2.905891940069762,-1.26029532226831,2.9058075004438124,0.6558715806975284
./results/medium_scale_analysis_20250903_170303/vit_base_patch16_224_cifar100_analysis.json,vit_base_patch16_224,cifar100,layer_8,8,0.03444326951409279,0.1,-2.911316784438907,2.9033248414202975,-1.2622938589068582,2.9032405509161765,0.6555673048590722
./results/medium_scale_analysis_20250903_170303/vit_base_patch16_224_cifar100_analysis.json,vit_base_patch16_224,cifar100,layer_9,9,0.03382728636865552,0.1,-2.34552176871694,2.956193379220047,-1.2218350143554524,2.956105991010458,0.6617271363134448
./results/medium_scale_analysis_20250903_170303/vit_base_patch16_224_cifar100_analysis.json,vit_base_patch16_224,cifar100,layer_10,10,0.03395721609979441,0.1,-1.6602714980507967,2.9448821630759494,-1.2303690251213193,2.9447954423202294,0.6604278390020559
./results/medium_scale_analysis_20250903_170303/vit_base_patch16_224_cifar100_analysis.json,vit_base_patch16_224,cifar100,layer_11,11,0.03354478914215106,0.1,-0.9771634160282072,2.981088942793322,-1.203280105088846,2.981000076529656,0.6645521085784893
./results/medium_scale_analysis_20250903_170303/vit_base_patch16_224_cifar100_analysis.json,vit_base_patch16_224,cifar100,summary,-1,0.03361511000050905,0.1,,,,2.974764182961256,0.6638488999949095
./results/medium_scale_analysis_20250903_170303/vit_base_patch16_224_cifar100_analysis.json,vit_base_patch16_224,cifar100,summary_final,999,0.03354478914215106,0.1,,,,2.981000076529656,0.6645521085784893
./results/medium_scale_analysis_20250903_170303/efficientnet_b2_cifar10_analysis.json,efficientnet_b2,cifar10,layer_0,0,0.035590850185290936,0.1,1.5625078423974086,2.809710908263951,-3.3835312436452414,2.8096319657281277,0.6440914981470907
./results/medium_scale_analysis_20250903_170303/efficientnet_b2_cifar10_analysis.json,efficientnet_b2,cifar10,summary,-1,0.035590850185290936,0.1,,,,2.8096319657281277,0.6440914981470907
./results/medium_scale_analysis_20250903_170303/efficientnet_b2_cifar10_analysis.json,efficientnet_b2,cifar10,summary_final,999,0.035590850185290936,0.1,,,,2.8096319657281277,0.6440914981470907
./results/medium_scale_analysis_20250903_170303/deit_base_patch16_224_svhn_analysis.json,deit_base_patch16_224,svhn,layer_0,0,0.03257981719757953,0.1,-1.163474867964814,3.0693849321975124,-10.0,3.069290723850509,0.6742018280242047
./results/medium_scale_analysis_20250903_170303/deit_base_patch16_224_svhn_analysis.json,deit_base_patch16_224,svhn,layer_1,1,0.03205351218851528,0.1,-1.4025939963509328,3.1197829246253344,-10.0,3.1196855972067707,0.6794648781148472
./results/medium_scale_analysis_20250903_170303/deit_base_patch16_224_svhn_analysis.json,deit_base_patch16_224,svhn,layer_2,2,0.032799667344887706,0.1,1.865868090010528,3.048811408618948,-10.0,3.0487184589427554,0.6720033265511229
./results/medium_scale_analysis_20250903_170303/deit_base_patch16_224_svhn_analysis.json,deit_base_patch16_224,svhn,layer_3,3,0.033051646091240436,0.1,2.373602590229404,3.02556791646461,-10.0,3.0254763786219785,0.6694835390875957
./results/medium_scale_analysis_20250903_170303/deit_base_patch16_224_svhn_analysis.json,deit_base_patch16_224,svhn,layer_4,4,0.032055112865599124,0.1,-1.2437363276519162,3.1196271377761366,-10.0,3.1195298200772985,0.6794488713440088
./results/medium_scale_analysis_20250903_170303/deit_base_patch16_224_svhn_analysis.json,deit_base_patch16_224,svhn,layer_5,5,0.032485305274616454,0.1,-1.0557107966743076,3.078314922844162,-10.0,3.0782201655334487,0.6751469472538355
./results/medium_scale_analysis_20250903_170303/deit_base_patch16_224_svhn_analysis.json,deit_base_patch16_224,svhn,layer_6,6,0.0321151193876278,0.1,-0.8481431344204907,3.113798170668627,-10.0,3.113701216297114,0.678848806123722
./results/medium_scale_analysis_20250903_170303/deit_base_patch16_224_svhn_analysis.json,deit_base_patch16_224,svhn,layer_7,7,0.0328350447770583,0.1,-0.6580662617637535,3.0455265305400028,-10.0,3.045433781046231,0.671649552229417
./results/medium_scale_analysis_20250903_170303/deit_base_patch16_224_svhn_analysis.json,deit_base_patch16_224,svhn,layer_8,8,0.032926725481715095,0.1,-0.28231540915973025,3.0370466099197175,-10.0,3.03695437619979,0.6707327451828491
./results/medium_scale_analysis_20250903_170303/deit_base_patch16_224_svhn_analysis.json,deit_base_patch16_224,svhn,layer_9,9,0.03277249557161344,0.1,0.20785095416845928,3.051339187199922,-10.0,3.0512460833324835,0.6722750442838656
./results/medium_scale_analysis_20250903_170303/deit_base_patch16_224_svhn_analysis.json,deit_base_patch16_224,svhn,layer_10,10,0.032087084553454374,0.1,0.8358113329954465,3.116518729939719,-10.0,3.1164216060766616,0.6791291544654563
./results/medium_scale_analysis_20250903_170303/deit_base_patch16_224_svhn_analysis.json,deit_base_patch16_224,svhn,layer_11,11,0.03262234603489326,0.1,1.3121442004600448,3.0653834611722526,-10.0,3.0652894982949346,0.6737765396510674
./results/medium_scale_analysis_20250903_170303/deit_base_patch16_224_svhn_analysis.json,deit_base_patch16_224,svhn,summary,-1,0.03257981719757953,0.1,,,,3.069290723850509,0.6742018280242047
./results/medium_scale_analysis_20250903_170303/deit_base_patch16_224_svhn_analysis.json,deit_base_patch16_224,svhn,summary_final,999,0.03262234603489326,0.1,,,,3.0652894982949346,0.6737765396510674
./results/medium_scale_analysis_20250903_170303/swin_small_patch4_window7_224_cifar100_analysis.json,swin_small_patch4_window7_224,cifar100,layer_0,0,0.03377118691445447,0.1,-2.1876618795637843,2.9611040989856003,-10.0,2.96101642020701,0.6622881308554553
